,team,player_id,player,TOI,TOs,PLAYER_ID,GP,TOUCHES,TIME_OF_POSS,TOI_POSS,TOI_10_TOUCHES,TO_POSS,TO_10_TOUCHES
0,ATL,1882,Brand,28.061336693621648,18,1882,36,788,18.5,1.5168290104660351,3.561083336754016,0.972972972972973,2.284263959390863
1,ATL,2594,Korver,151.93085062322726,107,2594,75,2926,73.9,2.05589784334543,5.192441921504691,1.4479025710419484,3.656869446343131
2,ATL,200757,Sefolosha,50.11938552652039,38,200757,52,1588,55.5,0.9030519914688359,3.1561325898312584,0.6846846846846847,2.392947103274559
3,ATL,200794,Millsap,220.49639775711162,166,200794,73,4608,162.7,1.3552329302834152,4.785078076326207,1.020282728948986,3.6024305555555554
4,ATL,201143,Horford,140.97309394002912,100,201143,76,4423,125.6,1.1223972447454549,3.187273206873821,0.7961783439490446,2.2609088853719195
5,ATL,201948,Daye,7.440835668344199,5,201948,34,595,17.9,0.4156891434829162,1.2505606165284369,0.2793296089385475,0.8403361344537815
6,ATL,201952,Teague,292.4139684414878,205,201952,73,5494,448.6,0.6518367553310026,5.322423888632832,0.45697726259473914,3.731343283582089
7,ATL,201960,Carroll,105.80437794950413,75,201960,70,3430,122.3,0.8651216512633207,3.0846757419680504,0.6132461161079313,2.186588921282799
8,ATL,202714,Mack,78.01727588425709,49,202714,55,1903,123.9,0.6296793856679345,4.09969920568876,0.39548022598870053,2.5748817656332106
9,ATL,203098,Jenkins,10.849655550624293,8,203098,24,411,12.7,0.8543035866633302,2.639818868765035,0.6299212598425197,1.9464720194647203
10,ATL,203118,Scott,62.143108320741,39,203118,68,1898,44.2,1.4059526769398416,3.274136370955796,0.8823529411764706,2.054794520547945
11,ATL,203145,Bazemore,101.38305737797775,73,203145,75,1875,69.2,1.4650730834967882,5.4070963934921465,1.0549132947976878,3.8933333333333335
12,ATL,203471,Schröder,201.84194684012,150,203471,77,4103,354.2,0.5698530402036137,4.919374770658543,0.42348955392433657,3.65586156470875
13,ATL,203488,Muscala,29.433000952995087,21,203488,40,930,19.1,1.5409948142929364,3.1648388121500095,1.0994764397905759,2.258064516129032
14,ATL,203544,Antic,61.87975571933788,49,203544,63,1600,35.0,1.7679930205525107,3.8674847324586175,1.4,3.0625
15,BKN,708,Garnett,57.30000480812072,45,708,47,2013,45.9,1.2483661178239809,2.8464980033840397,0.9803921568627452,2.235469448584203
16,BKN,1905,Kirilenko,1.369365252913076,1,1905,7,43,1.4,0.9781180377950544,3.1845703556118043,0.7142857142857143,2.3255813953488373
17,BKN,2207,Johnson,183.03738309121525,137,2207,80,4303,238.4,0.7677742579329498,4.253715619131193,0.5746644295302014,3.1838252382059027
18,BKN,101114,Williams,215.10181286774852,154,101114,68,5089,465.7,0.46188922668616816,4.226799231042415,0.3306849903371269,3.0261348005502064
19,BKN,101127,Jack,266.3884632412204,191,101127,80,4915,443.4,0.6007858891322067,5.4199076956504655,0.4307622913847542,3.8860630722278735
20,BKN,101187,Anderson,74.99222864010754,60,101187,74,1880,76.4,0.9815736732998368,3.988948331920614,0.7853403141361256,3.1914893617021276
21,BKN,201152,Young,46.07001243087957,42,201152,75,4817,151.3,0.30449446418294496,0.9564046591421957,0.27759418374091205,0.8719119784097987
22,BKN,201572,Lopez,122.65903888712319,104,201572,72,2777,82.5,1.4867762289348265,4.416962149338249,1.2606060606060605,3.7450486136118113
23,BKN,201947,Clark,7.504883261560472,6,201947,10,157,3.7,2.028346827448776,4.780180421376097,1.6216216216216215,3.821656050955414
24,BKN,202366,Jordan,30.732124044728298,22,202366,44,418,10.2,3.0129533377184607,7.352182785820167,2.1568627450980395,5.263157894736842
25,BKN,202711,Bogdanović,125.50629182921249,78,202711,78,1879,66.4,1.8901549974278988,6.679419469356705,1.1746987951807228,4.151144225651943
26,BKN,202721,Morris,33.31544088175247,21,202721,38,664,65.0,0.5125452443346534,5.017385674962722,0.3230769230769231,3.1626506024096384
27,BKN,203141,Teletovic,62.62371621170342,53,203141,40,1638,40.9,1.5311422056651203,3.8231816979061914,1.2958435207823962,3.235653235653236
