,SEASON,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,MIN,TOUCHES,TIME_OF_POSS
0,2015-16,201166,Aaron Brooks,1610612741,CHI,69,1108.0,2401,211.8
1,2015-16,203932,Aaron Gordon,1610612753,ORL,77,1857.0,2962,94.7
2,2015-16,1626151,Aaron Harrison,1610612766,CHA,21,93.0,90,3.9
3,2015-16,203940,Adreian Payne,1610612750,MIN,52,486.0,974,31.0
4,2015-16,201143,Al Horford,1610612737,ATL,82,2631.0,5211,138.9
5,2015-16,2744,Al Jefferson,1610612766,CHA,47,1096.0,1338,48.1
6,2015-16,202329,Al-Farouq Aminu,1610612757,POR,82,2341.0,2991,103.7
7,2015-16,101187,Alan Anderson,1610612764,WAS,13,192.0,207,8.0
8,2015-16,1626210,Alan Williams,1610612756,PHX,10,68.0,117,2.7
9,2015-16,202692,Alec Burks,1610612762,UTA,31,797.0,1499,95.4
10,2015-16,203458,Alex Len,1610612756,PHX,78,1821.0,2978,78.2
11,2015-16,1627293,Alex Stepheson,1610612763,MEM,8,72.0,93,2.7
12,2015-16,201582,Alexis Ajinca,1610612740,NOP,59,861.0,1485,34.7
13,2015-16,203459,Allen Crabbe,1610612757,POR,81,2105.0,2502,69.1
14,2015-16,202087,Alonzo Gee,1610612740,NOP,73,1632.0,1554,48.5
15,2015-16,2405,Amar'e Stoudemire,1610612748,MIA,52,762.0,931,27.8
16,2015-16,101161,Amir Johnson,1610612738,BOS,78,1777.0,3153,71.8
17,2015-16,2760,Anderson Varejao,1610612744,GSW,53,496.0,918,25.5
18,2015-16,203083,Andre Drummond,1610612765,DET,81,2665.0,3126,94.8
19,2015-16,2738,Andre Iguodala,1610612744,GSW,65,1732.0,2698,131.0
20,2015-16,1889,Andre Miller,1610612759,SAS,39,461.0,1072,94.7
21,2015-16,203460,Andre Roberson,1610612760,OKC,70,1553.0,1189,29.2
22,2015-16,200745,Andrea Bargnani,1610612751,BKN,46,634.0,1054,26.7
23,2015-16,101106,Andrew Bogut,1610612744,GSW,70,1451.0,2562,73.0
24,2015-16,202726,Andrew Goudelock,1610612745,HOU,8,50.0,110,7.2
25,2015-16,203094,Andrew Nicholson,1610612753,ORL,55,820.0,1187,38.5
26,2015-16,203952,Andrew Wiggins,1610612750,MIN,81,2845.0,3791,172.9
27,2015-16,203461,Anthony Bennett,1610612761,TOR,19,84.0,174,3.7
28,2015-16,1626148,Anthony Brown,1610612747,LAL,29,599.0,614,20.6
29,2015-16,203076,Anthony Davis,1610612740,NOP,61,2164.0,4164,129.1
30,2015-16,201627,Anthony Morrow,1610612760,OKC,68,926.0,850,23.8
31,2015-16,201229,Anthony Tolliver,1610612765,DET,72,1341.0,2135,47.6
32,2015-16,203462,Archie Goodwin,1610612756,PHX,57,1114.0,2341,169.4
33,2015-16,203382,Aron Baynes,1610612765,DET,81,1233.0,1386,35.4
34,2015-16,201167,Arron Afflalo,1610612752,NYK,71,2371.0,3744,157.5
35,2015-16,203085,Austin Rivers,1610612746,LAC,67,1464.0,2541,181.5
36,2015-16,202340,Avery Bradley,1610612738,BOS,75,2507.0,2893,95.4
37,2015-16,1626253,Axel Toupane,1610612743,DEN,21,305.0,298,8.9
38,2015-16,203463,Ben McLemore,1610612758,SAC,67,1418.0,1638,50.5
