,team,year,non_fb_o_rating,non_fb_d_rating,o_half_court_dff,d_half_court_dff
0,CHI,1996,1.1040697674418605,0.9847126436781608,0.020000000000000018,0.030000000000000027
1,UTA,1996,1.0739999999999998,1.0004651162790696,0.040000000000000036,0.030000000000000027
2,SEA,1996,1.0639024390243903,0.9811627906976744,0.030000000000000027,0.030000000000000027
3,CHH,1996,1.0560919540229885,1.042758620689655,0.020000000000000018,0.040000000000000036
4,DET,1996,1.048139534883721,1.003932584269663,0.040000000000000036,0.020000000000000018
5,PHX,1996,1.0551724137931036,1.035813953488372,0.030000000000000027,0.040000000000000036
6,HOU,1996,1.0365116279069768,0.987764705882353,0.0,0.040000000000000036
7,LAL,1996,1.026,0.987906976744186,0.050000000000000044,0.030000000000000027
8,ATL,1996,1.0282352941176471,0.9695402298850573,0.040000000000000036,0.050000000000000044
9,POR,1996,1.03,0.9923255813953488,0.020000000000000018,0.040000000000000036
10,GSW,1996,1.0220689655172412,1.0614285714285714,0.040000000000000036,0.040000000000000036
11,MIA,1996,1.0103488372093024,0.9476744186046511,0.050000000000000044,0.05999999999999994
12,WAS,1996,1.019767441860465,1.0061627906976742,0.040000000000000036,0.020000000000000018
13,MIL,1996,1.022325581395349,1.0250588235294116,0.010000000000000009,0.050000000000000044
14,IND,1996,1.0173563218390804,0.9953488372093022,0.050000000000000044,0.040000000000000036
15,ORL,1996,1.0023809523809524,1.008139534883721,0.020000000000000018,0.030000000000000027
16,MIN,1996,1.0076744186046511,1.0277647058823527,0.030000000000000027,0.030000000000000027
17,LAC,1996,1.0001176470588236,1.036,0.06000000000000005,0.010000000000000009
18,SAC,1996,1.0075862068965518,1.0355294117647058,0.020000000000000018,0.040000000000000036
19,DEN,1996,1.01,1.064,0.010000000000000009,0.030000000000000027
20,TOR,1996,0.9950588235294117,1.033953488372093,0.040000000000000036,0.030000000000000027
21,CLE,1996,0.9878571428571429,0.983953488372093,0.040000000000000036,0.020000000000000018
22,NYK,1996,1.0,0.9604761904761904,0.020000000000000018,0.05999999999999994
23,BOS,1996,0.9841176470588234,1.0722093023255816,0.050000000000000044,0.040000000000000036
24,NJN,1996,0.9976744186046511,1.04,0.030000000000000027,0.030000000000000027
25,PHI,1996,0.9923255813953488,1.0538823529411765,0.040000000000000036,0.030000000000000027
26,SAS,1996,0.9948837209302325,1.072093023255814,0.030000000000000027,0.010000000000000009
27,DAL,1996,0.9645348837209303,1.026,0.05999999999999994,0.030000000000000027
28,VAN,1996,0.9672093023255814,1.0758823529411765,0.020000000000000018,0.010000000000000009
0,LAL,1997,1.082,0.9874418604651161,0.030000000000000027,0.040000000000000036
1,UTA,1997,1.0603488372093022,1.0,0.06000000000000005,0.030000000000000027
2,SEA,1997,1.0635714285714284,0.9830232558139534,0.050000000000000044,0.050000000000000044
3,PHX,1997,1.028,0.9694117647058823,0.06000000000000005,0.050000000000000044
4,MIN,1997,1.0216279069767442,1.0173563218390804,0.07000000000000006,0.06000000000000005
5,IND,1997,1.0225581395348837,0.9715116279069766,0.07000000000000006,0.030000000000000027
6,ATL,1997,1.034186046511628,0.9823255813953488,0.020000000000000018,0.06000000000000005
7,CHI,1997,1.033529411764706,0.9499999999999998,0.0,0.030000000000000027
8,HOU,1997,1.01,1.0299999999999998,0.040000000000000036,0.030000000000000027
9,MIA,1997,1.0405882352941178,0.9653488372093021,0.030000000000000027,0.050000000000000044
10,NJN,1997,1.026309523809524,1.0051724137931033,0.020000000000000018,0.050000000000000044
11,CHH,1997,1.023720930232558,1.006235294117647,0.050000000000000044,0.010000000000000009
12,WAS,1997,0.9977647058823529,0.9980459770114943,0.040000000000000036,0.030000000000000027
13,DET,1997,0.99,0.989767441860465,0.040000000000000036,0.040000000000000036
14,POR,1997,0.9941860465116279,0.9766666666666666,0.030000000000000027,0.050000000000000044
15,VAN,1997,1.0,1.06,0.010000000000000009,0.030000000000000027
16,MIL,1997,0.9776190476190474,0.9966666666666665,0.040000000000000036,0.06000000000000005
17,LAC,1997,0.9894252873563217,1.0658823529411765,0.050000000000000044,0.020000000000000018
18,SAS,1997,0.9943820224719101,0.947764705882353,0.020000000000000018,0.030000000000000027
19,NYK,1997,0.9751162790697675,0.9659999999999999,0.06000000000000005,0.010000000000000009
20,ORL,1997,0.9761176470588235,0.9959999999999999,0.020000000000000018,0.030000000000000027
21,BOS,1997,0.970609756097561,1.0044186046511627,0.040000000000000036,0.050000000000000044
22,PHI,1997,0.9732941176470588,0.9896428571428569,0.050000000000000044,0.050000000000000044
23,CLE,1997,0.9602380952380951,0.9437647058823528,0.06000000000000005,0.030000000000000027
24,TOR,1997,0.9635714285714284,1.0541176470588236,0.030000000000000027,0.030000000000000027
25,SAC,1997,0.9675862068965516,1.0205882352941176,0.020000000000000018,0.040000000000000036
26,DAL,1997,0.957674418604651,1.0201162790697673,0.030000000000000027,0.06000000000000005
27,DEN,1997,0.9455294117647058,1.0622093023255814,0.04999999999999993,0.050000000000000044
