,team,TOI,TOs,TIME_OF_POSS,TOUCHES,TOI_POSS,TOI_10_TOUCHES,TO_POSS,TO_10_TOUCHES
0,ATL,1736.2528501729678,1294,0.0,0,inf,inf,inf,inf
1,BKN,1901.077930727044,1356,0.0,0,inf,inf,inf,inf
28,UTA,1536.0332423746095,1118,0.0,0,inf,inf,inf,inf
27,TOR,1414.5557879691078,1041,0.0,0,inf,inf,inf,inf
26,SAS,1475.5281820064536,1101,0.0,0,inf,inf,inf,inf
25,SAC,1644.7632136615189,1201,0.0,0,inf,inf,inf,inf
24,POR,1579.981838779331,1126,0.0,0,inf,inf,inf,inf
23,PHX,1686.5534760249407,1265,0.0,0,inf,inf,inf,inf
22,PHI,1809.4545634507674,1366,0.0,0,inf,inf,inf,inf
21,ORL,1423.1508363372914,1091,0.0,0,inf,inf,inf,inf
20,OKC,1691.6543212856207,1230,0.0,0,inf,inf,inf,inf
19,NYK,1578.0241110726488,1139,0.0,0,inf,inf,inf,inf
18,NOP,1475.9635870251766,1054,0.0,0,inf,inf,inf,inf
17,MIN,1603.4786727357825,1150,0.0,0,inf,inf,inf,inf
16,MIL,1680.8628092107306,1145,0.0,0,inf,inf,inf,inf
15,MIA,1424.04125056686,1102,0.0,0,inf,inf,inf,inf
14,MEM,1376.9030542284584,1059,0.0,0,inf,inf,inf,inf
13,LAL,1682.2571143331838,1243,0.0,0,inf,inf,inf,inf
12,LAC,1527.2031579568843,1062,0.0,0,inf,inf,inf,inf
11,IND,1569.5039698518137,1130,0.0,0,inf,inf,inf,inf
10,HOU,1899.5011253612245,1240,0.0,0,inf,inf,inf,inf
9,GSW,1807.9709380933034,1211,0.0,0,inf,inf,inf,inf
8,DET,1194.5924926370758,973,0.0,0,inf,inf,inf,inf
7,DEN,1813.2557543720634,1226,0.0,0,inf,inf,inf,inf
6,DAL,1246.1201002519417,972,0.0,0,inf,inf,inf,inf
5,CLE,1695.4118167898273,1121,0.0,0,inf,inf,inf,inf
4,CHI,1484.4132146573518,1112,0.0,0,inf,inf,inf,inf
3,CHA,1294.977580125093,942,0.0,0,inf,inf,inf,inf
2,BOS,1559.2854668575737,1088,0.0,0,inf,inf,inf,inf
29,WAS,1569.418693654088,1162,0.0,0,inf,inf,inf,inf
