,team,TOI,TOs,TOUCHES,TIME_OF_POSS,TOI_POSS,TOI_10_TOUCHES,TO_POSS,TO_10_TOUCHES
14,MEM,1281.0797858203182,1044,26200,1280.8,1.0002184461432841,4.889617503130986,0.8151155527795129,3.984732824427481
27,TOR,1149.7740465001275,997,26965,1231.6,0.9335612589315748,4.26394973669619,0.8095160766482625,3.6973854997218614
4,CHI,1237.8899178019485,949,31099,1342.1,0.9223529675895601,3.9804814232031527,0.7071008121600477,3.0515450657577414
1,BKN,1125.5935933494652,971,26184,1255.9,0.8962446001667849,4.298783964823805,0.7731507285611912,3.7083715245951727
29,WAS,1171.725164056053,993,26417,1315.3,0.8908425180993332,4.435496703092906,0.7549608454345017,3.758943104818867
28,UTA,1337.6759762918318,1121,28263,1523.4,0.8780858450123616,4.732958200799037,0.7358540107653931,3.966316385380179
0,ATL,1268.456757561227,1007,29861,1454.0,0.8723911675111603,4.247870994143622,0.6925722145804677,3.3722916178292754
9,GSW,1025.5100912051648,887,27240,1212.2,0.8459908358399314,3.7647213333522935,0.7317274377165484,3.2562408223201174
24,POR,1208.5434210436922,1035,28672,1477.9,0.8177437046103878,4.215064945046359,0.7003180188104743,3.6097935267857144
5,CLE,1099.4230734384907,838,27850,1382.5,0.7952427294310964,3.9476591505870404,0.6061482820976491,3.0089766606822264
17,MIN,1207.362640389326,960,29656,1526.5,0.7909352377263846,4.071225520600641,0.6288896167703898,3.2371189641219313
18,NOP,1137.537448319344,918,28295,1456.6,0.7809538983381464,4.02027725152622,0.6302347933543869,3.2443894681039054
23,PHX,1157.3616904099033,899,29608,1517.1,0.7628776550061983,3.9089492380772204,0.5925779447630348,3.0363415293164007
7,DEN,1106.1340758763897,908,29762,1477.0,0.7489059416901759,3.7165986018291437,0.6147596479350034,3.050870237215241
12,LAC,1157.5510429856968,986,28859,1553.9,0.7449327775183067,4.011057358140257,0.6345324666966986,3.4166118022107486
13,LAL,1058.7530307735708,865,26440,1425.0,0.7429845829989971,4.004360933334231,0.6070175438596491,3.2715582450832073
11,IND,1025.8199863709538,834,31599,1396.8,0.7344072067375099,3.2463685128357027,0.5970790378006873,2.6393240292414317
3,CHA,1121.1845679496168,969,30356,1565.6000000000001,0.7161373070705268,3.693452918532141,0.6189320388349514,3.19212017393596
26,SAS,1121.1806928286678,865,30812,1579.0,0.710057436876927,3.638779348398896,0.5478150728309057,2.807347786576658
6,DAL,1082.8743206657696,901,30755,1542.4,0.7020710066557115,3.5209699907844887,0.5841545643153526,2.929604942285807
25,SAC,1031.3316820549112,838,30153,1470.0,0.7015861782686471,3.4203285976682625,0.5700680272108843,2.7791596192750307
8,DET,1244.6162489549088,1010,32029,1801.0,0.6910695441171065,3.8859041773233907,0.560799555802332,3.153392238284055
19,NYK,1024.592336046803,832,27202,1502.0,0.6821520213360872,3.7666066320373615,0.5539280958721704,3.058598632453496
16,MIL,1084.4921270639904,868,30130,1609.3,0.673890590358535,3.5993764588914385,0.5393649412788168,2.8808496515101227
2,BOS,984.2695669286825,762,27445,1475.6,0.6670300670430215,3.586334731020887,0.516400108430469,2.7764620149389687
22,PHI,1035.8256853722492,850,29587,1591.0,0.6510532277638272,3.5009486780418735,0.5342551854179761,2.872883360935546
10,HOU,988.1332719786288,897,27564,1522.0,0.6492334244274828,3.584868930411511,0.5893561103810775,3.2542446669569
20,OKC,906.6238088938654,754,27706,1424.6,0.6364058745569743,3.2723013386770567,0.5292713744208901,2.721432180755071
21,ORL,978.8145651589685,941,28251,1547.3,0.6325952078840358,3.4647076746273355,0.6081561429587022,3.3308555449364627
15,MIA,1062.2270271641744,857,32302,1688.4,0.6291323307060971,3.28842494942782,0.5075811419095001,2.653086496192186
