team,player_id,player,type,period,clock,gameId,actionNumber,next_pos_points,shot_clock,opp_team,dead_ball
TOR,200768,Lowry,Offensive Foul Turnover,1,604.0,21900001,31,0,19.5,NOP,1
TOR,1627783,Siakam,Out of Bounds - Bad Pass Turnover,1,589.0,21900001,34,3,22.0,NOP,1
TOR,200768,Lowry,Bad Pass,1,547.0,21900001,41,3,17.0,NOP,0
TOR,1627832,VanVleet,Out of Bounds - Bad Pass Turnover,1,528.0,21900001,46,2,12.5,NOP,1
NOP,200755,Redick,Traveling,1,498.0,21900001,50,0,21.5,TOR,1
NOP,200755,Redick,Traveling,1,354.0,21900001,73,2,16.5,TOR,1
TOR,201586,Ibaka,Offensive Foul Turnover,1,247.0,21900001,111,0,23.0,NOP,1
TOR,1626181,Powell,Offensive Foul Turnover,1,164.0,21900001,135,2,14.0,NOP,1
NOP,1626143,Okafor,Out of Bounds Lost Ball Turnover,1,103.0,21900001,157,1,14.0,TOR,1
TOR,1626181,Powell,Bad Pass,1,40.2,21900001,175,0,11.700000000000005,NOP,0
TOR,200768,Lowry,Bad Pass,2,681.0,21900001,282,0,23.0,NOP,0
NOP,1629026,Williams,Offensive Foul Turnover,2,633.0,21900001,201,0,14.0,TOR,1
TOR,1627832,VanVleet,Traveling,2,608.0,21900001,210,3,0.0,NOP,1
TOR,1627783,Siakam,Bad Pass,2,485.0,21900001,238,2,11.5,NOP,0
NOP,1628366,Ball,Bad Pass,2,403.0,21900001,261,0,0.0,TOR,0
TOR,201586,Ibaka,Offensive Foul Turnover,2,396.0,21900001,267,0,17.0,NOP,1
NOP,201950,Holiday,Bad Pass,2,148.0,21900001,332,2,15.5,TOR,0
TOR,1610612761,,8 Second Violation,2,16.6,21900001,369,0,16.6,NOP,1
NOP,201950,Holiday,Lost Ball,2,1.3,21900001,376,0,8.7,TOR,0
NOP,1627742,Ingram,Out of Bounds - Bad Pass Turnover,3,598.0,21900001,405,0,23.0,TOR,1
NOP,201950,Holiday,Traveling,3,519.0,21900001,419,2,14.5,TOR,1
NOP,201950,Holiday,Bad Pass,3,499.0,21900001,427,0,15.0,TOR,0
NOP,202324,Favors,Offensive Foul Turnover,3,412.0,21900001,445,0,14.5,TOR,1
NOP,201950,Holiday,Step Out of Bounds Turnover,3,353.0,21900001,461,2,19.5,TOR,1
NOP,1629740,Melli,Bad Pass,3,254.0,21900001,480,0,10.5,TOR,0
TOR,1628384,Anunoby,Backcourt Turnover,3,225.0,21900001,500,0,11.0,NOP,1
NOP,1629740,Melli,3 Second Violation,3,213.0,21900001,501,2,12.0,TOR,1
NOP,1629638,Alexander-Walker,Bad Pass,3,169.0,21900001,505,0,11.5,TOR,0
TOR,201586,Ibaka,Out of Bounds - Bad Pass Turnover,4,667.0,21900001,566,2,5.0,NOP,1
NOP,1628402,Jackson,Offensive Foul Turnover,4,535.0,21900001,589,0,15.5,TOR,1
TOR,200768,Lowry,Out of Bounds - Bad Pass Turnover,4,290.0,21900001,656,3,6.0,NOP,1
TOR,1627783,Siakam,Traveling,4,249.0,21900001,663,0,9.0,NOP,1
TOR,1627783,Siakam,Offensive Foul Turnover,4,50.1,21900001,717,0,14.9,NOP,1
NOP,1628404,Hart,Lost Ball,4,32.9,21900001,720,2,6.799999999999997,TOR,0
NOP,1627742,Ingram,Out of Bounds - Bad Pass Turnover,5,175.0,21900001,769,3,0.0,TOR,1
NOP,200755,Redick,Step Out of Bounds Turnover,5,6.8,21900001,804,0,14.0,TOR,1
LAC,201976,Beverley,Bad Pass,1,598.0,21900002,22,0,19.5,LAL,0
LAC,202695,Leonard,Traveling,1,585.0,21900002,26,2,21.0,LAL,1
LAC,202695,Leonard,Offensive Foul Turnover,1,521.0,21900002,39,0,14.0,LAL,1
LAL,202340,Bradley,Out of Bounds - Bad Pass Turnover,1,454.0,21900002,56,2,5.5,LAC,1
LAC,101150,Williams,Bad Pass,1,354.0,21900002,84,2,21.0,LAL,0
LAC,1626149,Harrell,Offensive Foul Turnover,1,293.0,21900002,112,0,14.0,LAL,1
LAL,203076,Davis,Traveling,1,255.0,21900002,124,0,12.0,LAC,1
LAL,203076,Davis,Offensive Foul Turnover,1,76.0,21900002,162,2,14.0,LAC,1
LAC,203210,Green,Traveling,2,641.0,21900002,189,3,19.5,LAL,1
LAC,101150,Williams,Bad Pass,2,605.0,21900002,192,0,12.5,LAL,0
LAL,2544,James,Bad Pass,2,594.0,21900002,200,2,13.0,LAC,0
LAL,1626188,Cook,Bad Pass,2,373.0,21900002,247,3,10.5,LAC,0
LAL,201580,McGee,Bad Pass,2,346.0,21900002,254,0,4.5,LAC,0
LAC,202695,Leonard,Offensive Foul Turnover,3,492.0,21900002,399,3,22.0,LAL,1
LAC,202695,Leonard,Traveling,3,459.0,21900002,407,0,9.0,LAL,1
LAL,1610612747,,Shot Clock Turnover,3,389.0,21900002,427,2,0.0,LAC,1
LAL,2544,James,Out of Bounds - Bad Pass Turnover,3,364.0,21900002,429,0,12.5,LAC,1
LAL,202340,Bradley,Lost Ball,3,304.0,21900002,442,0,10.0,LAC,0
LAC,1626149,Harrell,Offensive Foul Turnover,3,295.0,21900002,449,2,15.0,LAL,1
LAL,2544,James,Bad Pass,4,700.0,21900002,513,2,4.0,LAC,0
