team,player_id,player,type,period,clock,gameId,actionNumber,next_pos_points,shot_clock,opp_team,dead_ball
IND,1626167,Turner,Lost Ball,1,629.0,22300001,19,3,0.0,CLE,0
CLE,1628378,Mitchell,Lost Ball,1,581.0,22300001,30,2,18.0,IND,0
IND,1630169,Haliburton,Lost Ball,1,419.0,22300001,61,0,9.0,CLE,0
IND,1630169,Haliburton,Bad Pass,1,344.0,22300001,84,0,11.5,CLE,0
CLE,1630596,Mobley,Traveling,1,264.0,22300001,111,3,17.0,IND,1
CLE,1628386,Allen,Offensive Foul Turnover,1,201.0,22300001,128,2,14.0,IND,1
IND,1629614,Nembhard,Bad Pass,1,103.0,22300001,146,2,15.0,CLE,0
CLE,1629636,Garland,Bad Pass,1,33.4,22300001,162,2,6.399999999999999,IND,0
CLE,1629636,Garland,Lost Ball,1,7.3,22300001,166,0,1.1999999999999993,IND,0
IND,1630188,Smith,Bad Pass,2,685.0,22300001,186,0,8.0,CLE,0
CLE,1627747,LeVert,Step Out of Bounds Turnover,2,567.0,22300001,220,0,13.5,IND,1
IND,1630188,Smith,Out of Bounds Lost Ball Turnover,2,554.0,22300001,223,2,11.0,CLE,1
IND,1627741,Hield,Out of Bounds - Bad Pass Turnover,2,529.0,22300001,226,0,10.5,CLE,1
IND,1630169,Haliburton,Bad Pass,2,469.0,22300001,240,3,14.5,CLE,0
IND,1630169,Haliburton,Offensive Foul Turnover,2,335.0,22300001,272,0,14.0,CLE,1
CLE,1628378,Mitchell,Bad Pass,2,166.0,22300001,308,0,17.5,IND,0
CLE,1628378,Mitchell,Lost Ball,2,128.0,22300001,315,2,15.5,IND,0
CLE,1629636,Garland,Traveling,3,704.0,22300001,357,0,8.0,IND,1
IND,1628971,Brown,Traveling,3,672.0,22300001,364,2,18.0,CLE,1
IND,1631097,Mathurin,Traveling,3,636.0,22300001,371,2,14.0,CLE,1
IND,1626167,Turner,Offensive Foul Turnover,3,549.0,22300001,386,2,14.5,CLE,1
IND,1628971,Brown,Traveling,3,168.0,22300001,460,2,17.5,CLE,1
IND,1630174,Nesmith,Lost Ball,3,116.0,22300001,472,2,17.0,CLE,0
IND,1630174,Nesmith,Traveling,3,95.0,22300001,475,0,8.5,CLE,1
CLE,1630171,Okoro,Offensive Foul Turnover,3,23.3,22300001,492,0,14.2,IND,1
IND,1629614,Nembhard,Lost Ball,4,660.0,22300001,507,2,11.5,CLE,0
